run_accession	experiment_accession	experiment_alias	biosample	sample_alias	library_strategy	library_source	library_layout	instrument_model	total_bases	total_spots	sra_size_bytes	md5	url
SRR18920233	SRX14997920	Kiribina40	SAMN27766158	Kiribina40	WGS	GENOMIC	PAIRED	HiSeq X Ten	9848424317	33757444	3967305698	de4a17ff4974af000448400c0504dbce	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920233/SRR18920233
SRR18920234	SRX14997919	Kiribina39	SAMN27766157	Kiribina39	WGS	GENOMIC	PAIRED	HiSeq X Ten	10201288564	34332194	4196526202	49253b71f1541ebf1fa717103954c209	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920234/SRR18920234
SRR18920235	SRX14997918	Kiribina38	SAMN27766156	Kiribina38	WGS	GENOMIC	PAIRED	HiSeq X Ten	9944184727	33539273	4167508800	50311f46f0f32d5ef225b43ba7ced2bf	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920235/SRR18920235
SRR18920236	SRX14997917	Kiribina37	SAMN27766155	Kiribina37	WGS	GENOMIC	PAIRED	HiSeq X Ten	11738822445	39540595	4659178816	c27917fc2d087bdf8cb148c3f077ad6d	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920236/SRR18920236
SRR18920237	SRX14997916	Kiribina36	SAMN27766154	Kiribina36	WGS	GENOMIC	PAIRED	HiSeq X Ten	11884732445	40122447	4309436039	9ffc13836f4225d789e639a0e269d31d	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920237/SRR18920237
SRR18920238	SRX14997915	Folonzo13	SAMN27766046	Folonzo13	WGS	GENOMIC	PAIRED	HiSeq X Ten	14016311728	47764508	4466048885	1d43c9660c8e9769e8485514316dfdb2	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920238/SRR18920238
SRR18920239	SRX14997914	Kiribina35	SAMN27766153	Kiribina35	WGS	GENOMIC	PAIRED	HiSeq X Ten	12385861831	41719517	5076187809	1edf536e0fc8b7d1413d2c068e2f7fb9	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920239/SRR18920239
SRR18920240	SRX14997913	Kiribina34	SAMN27766152	Kiribina34	WGS	GENOMIC	PAIRED	HiSeq X Ten	12143976382	41183292	5015963969	14e63b90ee16785801cbdb4eb53f66b2	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920240/SRR18920240
SRR18920241	SRX14997912	Kiribina33	SAMN27766151	Kiribina33	WGS	GENOMIC	PAIRED	HiSeq X Ten	10345156473	35240632	4384235971	c52c7622c5f63acb8b23ee61d6f2a7a8	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920241/SRR18920241
SRR18920242	SRX14997911	Kiribina32	SAMN27766150	Kiribina32	WGS	GENOMIC	PAIRED	HiSeq X Ten	10149086456	34237492	4316080732	931278255b496b53b1e4d85ab7ce6952	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920242/SRR18920242
SRR18920243	SRX14997910	Kiribina31	SAMN27766149	Kiribina31	WGS	GENOMIC	PAIRED	HiSeq X Ten	10498721711	35397069	4379162846	d44dcb8326729251d7006e6c9d1c328d	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920243/SRR18920243
SRR18920244	SRX14997909	Kiribina30	SAMN27766148	Kiribina30	WGS	GENOMIC	PAIRED	HiSeq X Ten	12273899249	41393108	5079718519	db1480f34477062dfda530d60d00ce23	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920244/SRR18920244
SRR18920245	SRX14997908	Kiribina29	SAMN27766147	Kiribina29	WGS	GENOMIC	PAIRED	HiSeq X Ten	10882678295	36658872	4730412320	3b153dfb903cc1acea1ea0ccf9681562	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920245/SRR18920245
SRR18920246	SRX14997907	Kiribina28	SAMN27766146	Kiribina28	WGS	GENOMIC	PAIRED	HiSeq X Ten	12408568044	41633682	4631512957	2b124c05fd4254e378dce39190e61241	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920246/SRR18920246
SRR18920247	SRX14997906	Kiribina27	SAMN27766145	Kiribina27	WGS	GENOMIC	PAIRED	HiSeq X Ten	12677041134	42808950	5124290974	436ddf5988b8b5a38a34f5eb98d46414	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920247/SRR18920247
SRR18920248	SRX14997905	Kiribina26	SAMN27766144	Kiribina26	WGS	GENOMIC	PAIRED	HiSeq X Ten	10771859583	36355104	4443832201	ee002cb02e93fe027d99045659c31269	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920248/SRR18920248
SRR18920249	SRX14997904	Folonzo12	SAMN27766045	Folonzo12	WGS	GENOMIC	PAIRED	HiSeq X Ten	13628409255	46131274	4231271239	673b60025de62bc3e88ffbbca960d85f	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920249/SRR18920249
SRR18920250	SRX14997903	Kiribina25	SAMN27766143	Kiribina25	WGS	GENOMIC	PAIRED	HiSeq X Ten	13893809894	46559383	5700552646	bada6f31e07e81599d5939d87ced5c9d	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920250/SRR18920250
SRR18920251	SRX14997902	Kiribina24	SAMN27766142	Kiribina24	WGS	GENOMIC	PAIRED	HiSeq X Ten	13258347290	44404984	4899638283	bfb9560a5641e3037aad604518ae5c5a	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920251/SRR18920251
SRR18920252	SRX14997901	Kiribina23	SAMN27766141	Kiribina23	WGS	GENOMIC	PAIRED	HiSeq X Ten	13876355396	46628870	5842147825	efc51a3094f77a3da59b30c3c3a089e7	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920252/SRR18920252
